COMMENTS,"LANGUAGE (E, F, or N)",OFFENSIVE (Y or N),EMOTION,"Hard to annotate?
(Y or N) ","Name o link? 
(Y, L or N) ",
ano bayan nakakadiri anong klaseng mukbang yan kumakain ng insekto,F,Y,Disgust,N,N,
"Yung pinapanuod mo sya, pero sa comment yung mata mo hahaha wtf 🤣🤣🤣",F,Y,Joy,N,N,
"Dame nyan sa arab country., pabango lang sa bahay.",F,N,Joy,N,Y,
Action agad [NAME]... Para sila lang makikinabang mga polpol,F,Y,Anger,N,N,
"[NAME] is good all the time 
And all the time [NAME] is good 
[NAME] bless [NAME] and Teacher [NAME]",E,N,Joy,N,N,
Sana may update ulit kay Kuya [NAME] 😭🥰,F,N,Joy,Y,N,
meegeed! Hanggang pakikinig nalng kaya ko di ko kayang manuod HAHAHA healthy naman pala si kuya ee 😂,F,N,Joy,N,N,
Ginagawa kasi yang bakoor niLAlagyN yan ng perfume,F,N,Joy,N,N,
Yay  nakakadiri,F,Y,Digust,N,N,
Kailagan nating alamin kung ano ang tunay na pagmamahal at para maisagawa ng tama.,F,N,Sadness,N,N,
ayan nah.. susme! [NAME] jan kau magaling.. hindi kau nag kukusa mag explore ng mga kahoy na may value.. saka lang kayo kikilos pag may napabalita.. takte ninyo!! mga mukang pera din kayo.. tse!!,F,Y,Anger,N,N,
May sugat den ako sa ulo,F,N,Sadness,N,N,
"Tigilan niyo Napo Sana Yan
Nakaka sama Napo Yan sa iyong
Kalisugan",F,N,Sadness,N,N,
Magtanim kayo wag putol ng putol,F,N,Anger,N,N,
Pls give the por,E,N,Sadness,N,N,
maganda sya kahit may kapansanan sya tiwala lang kay [NAME],F,N,Joy,N,N,
Ayaw ipagalaw ng [NAME] pero sila din mismo makikinabang dyan. Patago sila makikipag transaksyon sa mga buyer nyan.,F,N,Anger,N,N,
diko naiwasan di maiyak habang nanunuod 😇😇😇,F,N,Sadness,N,N,
Panghalo kasi sa paham yan,F,N,Joy,N,N,
Paano hindi namamatay,F,N,Fear,N,N,
"Ito po ba yung Tinatawag na ""Saling"" sa ilocano?",F,N,Joy,N,Y,
Bakit lahàt ñg doctor sa [NAME] kill joy xD,F,N,Anger,N,N,
Maganda naman Sya,F,N,Joy,N,N,
Kaya mo yan Harry Roque,F,N,Joy,N,Y,
Magaling kc sa pandurugas ang [NAME] po ateh,F,N,Anger,N,N,
"wow..
grabeh ..
wala cyang takot...😱",F,N,Fear,N,N,
Tumayo balahibo ko,F,N,Disgust,N,N,
salazar slitherin,N,N,None,Y,N,
Yan ung sunod na magdadala Ng pandemia sa [NAME]😠😠😠,F,N,Sadness,N,N,
Another pandemic: Am I A Joke To You?,E,N,Sadness,N,N,
"Nagulat ako haha
2:40",F,N,Surprise,N,N,
[NAME] Bless sa vlogger,E,N,Joy,N,N,
Mrun dto samin Yan nlalaga lang Yong boto nyan tas kakainin.,F,N,Joy,N,N,
Baka yang hawak niang patalim nayan baka yan yung nasa antipolo masaker....LUSIPER😈,F,N,Anger,N,Y,
Dapat talaga yung lalaki na lang. nakakaasar...,F,N,Anger,N,N,
Nakakaiyak nakaka touch 😘,F,N,Sadness,N,N,
Kasalanan nun llki.. I feel bad s kababayan k pero ngmhal lng xia 😔 s babae nmn pgling k po 😔,F,N,Sadness,N,N`,
juicekopo.... sumakit  ulo ko dito..,F,N,Sadness,N,N,
"wa oroy ka na covid pistiha ka ,kung unsa kamaot imung gipangkaon ingun ana pud kamaot imong nawung.",N,N,None,N,N,
Ang bilis umangat Ang Buhay ni boytapang Kasi bigla nabura Account niya,F,N,Joy,N,Y,
Sarili mong lupa illegal pa rin? Lintek na batas yan.,F,Y,Anger,N,N,
Di niya daw intensiyon eh ano yun?  Aksedenti?,F,N,Anger,N,N,
Mga sirang nilalang,F,N,Anger,N,N,
Ayoko naaa! Naduwal ako shems,F,N,Fear,N,N,
"Naku kuya alagaan nyo po kalusugan nyo
Kadiri",F,Y,Fear,N,N,
Grabeng nanay yan!,F,N,Anger,N,N,
Mas ok nayan kesa mag nakaw tandaan nyo guys may dahilan lahat ng mga maling ginagawa kung bkit sila laging gumagawa ng mga mali.,F,N,Sadness,N,N,
Hay nako ang govyerno talaga pag pera na lumalabas ang tunay na ugali  mga Gahaman sa pera,F,N,Anger,N,N,
"POTAENE nakakainis sumagot yung lalaki sabi nya ""dahil sa nangyari nayun mas lalo ko siya namahal"" edi ibig sabihin hindi mo siya pala mahal dati wtf?",F,Y,Anger,N,N,
"my gwad,  kasunod lungsod lang sa amin",F,N,Surprise,N,N,
Hindi ko pa pinapanood pero kadiri amputa.,F,Y,Disgust,N,N,
Bakit sila d painakulong,F,N,Anger/Sadness,N,N,
See here it’s very obvious that’s it’s been going on however nothings been done? CENRO what’s going on? One day you’ll here folks were eaten by these creatures.,E,N,Anger,N,N,
"Basta INVOLVE  ang PERA...para sa [NAME] LAHAT ENDANGERED na...pati sa SUKA NG BALYENA may Concern sila..PHUTA ang LupiiiittT...
#GAHAMAN",F,Y,Anger,N,N,
Now i get it why my mom always says (my name) kukutuhan kita tara para di na lumala.,E,N,Joy,N,N,
[NAME] bless [NAME] ❤️,E,N,Joy,N,N,
Fb friend man ni nko🥰,F,N,Joy,N,N,
"Kasalanan yan ng nanay iyan, hindi maalaga sa anak nya, dapat kinalbo nlng agad para iwas.",F,N,Sadness,N,N,
Naawa ako sa bata at sa magulang niya🥺🥺🥺🥺🥺🥺,F,N,Sadness,N,N,
Yucks ka damak.,N,Y,Disgust,N,N,
"wala kasing lagay kaya bawal
yung lagay kasi gabitay 😂",F,N,Joy/Anger,N,N,
Minsan every day,F,N,Joy,N,N,
Potang ina nyu gusto nyu kayu lanh makinabang mga kapal nang mukha nyu,F,Y,Anger,N,N,
Paborito kayan🤡😍,F,N,Joy,N,N,
Kung pwede nman ulit magtanim ano pang problema nyo grav mga crab mentality talaga mga ibang tao pag may nakitang umaangat gumagawa ng paraan para mahila pababa ano yan kalokohan,F,N,Anger,N,N,
Maniwala na aq na matapang ka kung kakain ka ng puno ng kahoy,F,N,Joy,N,N,
Yung Xander Ford nyo nga ginawan nyo ng paraan. Ito pa kaya. Come On! Pls help her get the confidence! Sana may mabuting puso jan maging donors pls pls,F,N,Sadness,N,Y,
sisihin nyo mga kurakot sa [NAME] hahaha,F,N,Anger/Joy,N,N,
Alam ko pong wala kang makain kaya exotic foods kinakain mo pero pwede namang kainin 'yan po ng LUTO 😣,F,N,Disgust,N,N,
mamamatay yan :(,F,N,Sadness,N,N,
Tma dpat sa  llaki mo ibinuhos,F,N,Anger,N,N,
NAG HAHANAP KA NG SAKIT NG KATAWAN MO! KADIRI,F,Y,Anger/Disgust,N,N,
Lol lagyan nyo alcohol,F,Y,Anger,N,N,
Bigay ng kalikasan pinipigilan ng mga taga [NAME]. Imbis yun na sana maka tulong sa mga pobreng tao.,F,N,Sadness,N,N,
Walang pinanganak na pangit .. ❤️,F,N,Joy,N,N,
napano yung kamay nyan,F,N,Sadness,N,N,
Nakakatakot naman ang ginawa ni tatay at dumugo pa ang kamay nya 😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣,F,N,Fear,N,N,
jfhdhchhhdhdh hfhc,N,N,None,N,L,
Ok lng kumain ng exotic foods pero ito sobra n .. karamihan puro madudumi p kinakain..,F,N,Disgust,N,N,
"Oh heck no, I scream every time I see one😂",E,N,Joy,N,N,
"Pati yung pag inom inom mo ng gaas, tubig na may surf powder? at maruming tubig? pati kanal hindi pinatawad, bakit hindi isinali? Hahaha",F,N,Disgust/Joy,N,N,
nakakaawa na sa murang edad nakakaranas na siya magka-problema sa buhay.,F,N,Sadness,N,N,
Please help him na po!!! Kumakain na po sya pati vulcaseal!!!!! #[NAME]15,F,N,Disgust/Sadness,N,N,
mayroon din sanang magpaamo ng baboy gaya mo [NAME]...ang daldal mo kasi at kontrabida sa pangulo...hahaha,F,Y,Joy,N,N,
Bat puros engkanto nalang may kasalanan,F,N,Anger,N,N,
Kulong habang buhay,F,N,Anger,N,N,
Lalaki ba si [NAME]? O babae?,F,N,None,Y,N,
Dont.call them Ahas call them Bessy,E,N,Joy,N,N,
Sana maging Teacher ko rin yung Teacher nila sa Private school,F,N,Joy/Sadness,N,N,
mahal yan binibili dto sa [NAME] kc mgahilig ang mga arabo ng ganyan,F,N,Joy,N,Y,
Sa may Baclaran yata to eeh. Sa may 3F🤔.,F,N,Joy,N,Y,
ibebenta nnmn yan ng [NAME],F,N,Anger,N,N,
"Bakit sa [NAME], kinakalbo na ang kagubatan dahil sa  chromite, hindi nakikialam ang mga autoridad, siguro nabayaran, ikaw din [NAME] bakit hindi mo puntahan para malaman mo?",F,N,Sadness,N,N,
sa nanay narin nang bata yan parang pinabayaan,F,N,Sadness,N,N,
Hindi na ako maaasawa,F,N,Sadness,N,N,
Kahit ilang beses kng panuorin to talagang matitinag ang puso ko...,F,N,Sadness,N,N,
Illegal dahil alam ng goberno.. sila lang maka pera lok,F,N,Anger,N,N,
Yan ang gusto ng ating kababayan fat is healthy sabi nila.Kawawa nman.,F,N,None,N,N,
Takot ako Jan sa mga kinakain nya,F,N,Fear,N,N,
"grabe naman yung bf ni glory! nakakaawa naman si glory, hindi na makakita,sana gumaling na siya, in[NAME] name, Amen.",F,N,Sadness,N,Y,
sa 3F trade center mart to diba? sa pasay ba to? sa two shopping?,F,N,Joy,N,Y,
[NAME]BLESSYOU sir 🤍,E,N,Joy,N,N,
Tatay ng apo ni nanay walang trabaho kaya si nanay mag provide.. Kapal naman ng mukha ng anak ni nanay.. Hindi na nahiya sa magulang nya..,F,Y,Anger,N,N,
Kng cguro marami lng akong pera help kita,F,N,Sadness,N,N,
"Ang ganda niya 
Huwag mawalan ng pag asa",F,N,Sadness,N,N,
Ganito yung mga kwentong [NAME] na gustung gusto ko.,F,N,Joy,N,N,
Naaamoy ko yung ulo dito sa screen,F,N,Disgust,N,N,
To [NAME] be the Glory! 💖,E,N,Joy,N,N,
nako pag nakulong yan lalagyan ng pumada lage yan,F,N,Anger,N,N,
"90% of comment is awa and plasticity. Ugali hinahanap nyo Pero Yung mga bingot, ngongo at iba pang may kapansanan kahit sobrang babait at loyal pagtitripan nyo?lol.",F,Y,Sadness/Anger,N,N,
"""nagmahal lang ako sa maling pagmamahal"" ☹️",F,N,Sadness,N,N,
May sira ulo ka kuya mga unclean foods yan may mental health ka  kuya yan ang mga generator animals sa mundo kaya pala may pandemic dahil sa mga taong  matitigas ang ulo at mga hugawan,F,N,Anger,N,N,
Yakkkk boy tapang,F,Y,Disgust,N,N,
[NAME] bless kuya [NAME] ♥️♥️,F,N,Joy,N,N,
Ganyan din yun bata nuon na nasa Indonesia.... lage na cya nagsasocker kaya payat na,F,N,Joy/Sadness,N,Y,
This is a miracle 😀😊,E,N,Joy,N,N,
Eto dapat ang tinutulungan,F,N,Joy/Sadness,N,N,
bakit hnd ang [NAME] mag patanim at maramihin tpos [NAME] ang binta para my kita ang mga local,F,N,Anger,N,N,
Lupet parang nasa [NAME] ka pre,F,N,Joy,N,N,
